ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
12394122	NL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e8*2007/46*0318*00	5E	ACDDYAX0	NFD7FD7CW002STVLN617	SKODA	OCTAVIA	M1		1342	12394122		103		1520	2670	1530	DIESEL	M	1598	85							1
11136901	SK	VW GROUP PC		SKODA	SKODA AUTO AS	ÂŠKODA AUTO A.S.	e8*2007/46*0320*00	NH	AACHZB	NFM5FM5DF002STN761SK	ÂŠKODA	RAPID	M1	M1	1170	11136901		103		1478	2589	1441	Petrol	M	999	70							1
12916704	BE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*00	5E	ACCHZDX0	NFD7FD7CW001STVLN617	SKODA	OCTAVIA	M1	M1	1269	12916704		108		1524	2667	1533	Petrol	M	999	85							1
15077351	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*00	5J	ACCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1134	15077351		101		1441	2455	1441	Petrol	M	999	70							1
9295933	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0320*00	NH	ABCHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1185	9295933		106		1500	2590	1463	PETROL	M	999	81							1
9331713	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0243*25	5E	ACDDYAX0	NFM5FM5A4051STVLN627	SKODA	OCTAVIA	M1	M1	1327	9331713		109		1540	2667	1549	DIESEL	M	1598	85							1
12394738	NL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e8*2007/46*0318*00	5E	ACDDYAX0	NFD7FD7CW002STVLN617	SKODA	OCTAVIA	M1		1342	12394738		103		1520	2670	1530	DIESEL	M	1598	85							1
11161535	SK	VW GROUP PC		SKODA	SKODA AUTO AS	ÂŠKODA AUTO A.S.	e8*2007/46*0320*00	NH	ABCHZC	NFM6FM6DQ002STN762SK	ÂŠKODA	RAPID	M1	M1	1185	11161535		106		1478	2590	1441	Petrol	M	999	81							1
9386733	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0318*00	5E	ACCHZDX0	NFD7FD7CW001STVLN617	SKODA	OCTAVIA	M1	M1	1269	9386733		108		1540	2667	1549	PETROL	M	999	85							1
9296783	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0250*19	NH	ABCHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1185	9296783		106		1500	2590	1463	PETROL	M	999	81							1
